0.53696,-0.46304,-0.0039125,0.16841,0.043116,0.20764,0.20747,0.14358,2.5154,0.01593,1.2319,4.8199,5.9378,6.9649,3.1884,3.7399,0.0081557,0.19939,0.27475,0.035729
0.31168,-0.68832,-0.015531,0.11156,0.021976,0.14824,0.14891,0.092513,4.7879,-1.0499,1.3347,6.7157,8.9634,10.809,2.7937,3.3691,0.0086775,0.2397,0.30495,0.03554
0.47876,-0.52124,0.0017327,0.09069,0.014285,0.11952,0.11941,0.075163,4.3605,-0.20393,1.3167,8.3742,11.027,13.304,5.2791,6.3696,0.0083625,0.28434,0.34291,0.036739
0.65242,-0.34758,0.020461,0.117,0.024135,0.15536,0.15654,0.095726,4.5177,0.68769,1.338,6.388,8.5474,10.447,5.5765,6.8155,0.0093662,0.24672,0.31354,0.037437
0.45116,-0.54884,0.013388,0.1474,0.032347,0.17985,0.18017,0.12688,2.6318,-0.23462,1.2223,5.5502,6.7843,7.8816,3.0608,3.5559,0.01057,0.26014,0.32325,0.036817
0.34493,-0.65507,-0.025803,0.12638,0.025832,0.16072,0.16262,0.10595,3.5079,-0.53724,1.2868,6.1493,7.9128,9.4382,2.7294,3.2555,0.0093153,0.24184,0.31005,0.037644
0.59787,-0.40213,0.0049495,0.16553,0.042293,0.20565,0.20551,0.14209,2.7571,0.44831,1.2415,4.866,6.0414,7.038,3.6119,4.2078,0.010538,0.23018,0.29374,0.033304
0.24774,-0.75226,-0.0141,0.085889,0.018757,0.13696,0.13754,0.063692,9.6047,-2.0402,1.6014,7.2705,11.643,15.701,2.8844,3.8897,0.0086392,0.23765,0.30497,0.03653
0.35047,-0.64953,-0.013236,0.11621,0.025745,0.16045,0.16084,0.092899,4.7097,-0.84851,1.384,6.2175,8.6049,10.764,3.0158,3.7726,0.010049,0.24265,0.30402,0.033552
0.66577,-0.33423,0.017417,0.11376,0.025554,0.15985,0.16064,0.088866,4.5728,0.90317,1.4121,6.225,8.7902,11.253,5.8522,7.4918,0.0096664,0.23946,0.30275,0.034312
0.54363,-0.45637,0.028267,0.16194,0.039384,0.19846,0.20026,0.13812,2.5289,0.063931,1.2367,4.9935,6.1753,7.24,3.3571,3.9359,0.010862,0.23835,0.30738,0.037675
0.79236,-0.20764,0.0061482,0.11454,0.022925,0.15141,0.15138,0.097319,6.2847,1.4745,1.3216,6.6058,8.7304,10.275,6.9176,8.1419,0.0084657,0.21753,0.28929,0.036368
0.21499,-0.78501,-0.0020121,0.071617,0.012649,0.11247,0.11237,0.056017,14.175,-2.6865,1.5691,8.899,13.963,17.852,3.0019,3.838,0.0067471,0.23037,0.30114,0.037616
0.36027,-0.63973,-0.0098192,0.10413,0.020119,0.14184,0.14204,0.084447,4.9845,-0.80867,1.3641,7.0404,9.6034,11.842,3.4598,4.2662,0.0091078,0.26677,0.32659,0.035492
0.54946,-0.45054,-0.00015265,0.13609,0.030245,0.17391,0.17374,0.11396,3.1559,0.10906,1.2766,5.7558,7.3479,8.7753,4.0374,4.8217,0.0096715,0.25968,0.31739,0.033303
0.47593,-0.52407,-0.0025921,0.13272,0.028176,0.16786,0.16771,0.11162,2.9492,-0.0657,1.2636,5.9627,7.5346,8.9592,3.5859,4.264,0.0096992,0.25767,0.31961,0.035758
0.65526,-0.34474,0.006431,0.099865,0.018314,0.13533,0.13535,0.081454,4.7208,0.8496,1.3553,7.3884,10.014,12.277,6.5615,8.0446,0.0094346,0.27904,0.33399,0.033688
0.44766,-0.55234,0.0012949,0.13553,0.030553,0.17479,0.17462,0.1132,3.271,-0.39517,1.2884,5.7266,7.3783,8.8342,3.303,3.9547,0.0097142,0.25755,0.31576,0.033377
0.47405,-0.52595,-0.00074745,0.13605,0.031256,0.17679,0.17662,0.11138,3.0907,-0.32136,1.2982,5.6619,7.3502,8.9781,3.4844,4.2561,0.0096807,0.25144,0.31419,0.035494
0.26998,-0.73002,-0.015764,0.10798,0.019859,0.14092,0.14166,0.08948,4.7119,-0.82442,1.312,7.059,9.2613,11.176,2.5004,3.0172,0.0077023,0.23936,0.30723,0.037097
